단어,뜻
셧다운제,"청소년의 온라인 게임 중독을 막기 위한 심야 게임 규제로, 만 16세 미만 청소년은 밤 12시부터 다음 날 오전 6시까지 온라인 게임에 접속할 수 없도록 하는 내용의 규제."
삼현슼엘,"국내 굴지의 대기업인 삼성, 현대, SK, LG를 통칭하는 말. MZ세대 취업 준비생들이 입사하고 싶어하는 꿈의 직장으로 꼽히는 기업들."
네카라쿠배당토,"네이버, 카카오, 라인, 배달의민족, 당근마켓, 토스 등 신흥 IT 기업을 통칭하는 말. MZ세대 취업 준비생들이 입사하고 싶어하는 꿈의 직장으로 떠오르는 기업들."
파츠,각종 액세서리 부자재를 일컫는 말. Z세대는 보통 아이돌 포토 카드를 꾸밀 때 파츠를 활용함.
덕업일치,덕질하는 것이 직업이 되었다는 뜻. 요즘은 좋아하는 일이 직업이 되었을 때 사용하는 말로 확장됨.
스카,스터디 카페의 줄임말.
여덕,여자 덕후의 줄임말. 여덕 몰이 멤버 = 여성 팬이 많다는 뜻.
로판,로맨스 판타지 장르를 줄여서 부르는 말. 최근 인기있는 웹소설 장르 중 하나.
손댄스,노래에 맞춰 손 모양으로 안무하는 것을 말함. 주로 ‘틱톡’에서 유행하고 있음.
터프팅,천에 ‘터프팅 건’으로 실을 심어서 만드는 섬유 공예. 요즘 MZ세대 사이에서 인기를 얻고 있는 취미 활동임.
광클,‘狂+click’의 줄임말. 아주 빠른 속도로 클릭하는 것을 의미함.
일잘러,일 잘하는 사람을 뜻하는 신조어
쩝쩝 박사,척척 박사를 변형한 신조어. 먹는 것에 진심인 사람들을 일컬음.
여름이었다,"트위터에서 시작된 유행어. 아무 말이나 해놓고, 뒤에 '여름이었다'라는 문구만 붙이면 감성적으로 보인다는 한 트윗에서 유래해 커뮤니티로 퍼짐."
멍,"불멍, 물멍, 숲멍 등 최근 MZ세대 사이에선 편안한 경관 앞에서 멍을 때리며 휴식을 취하는 것이 트렌드로 떠오름."
탑꾸,탑로더 꾸미기의 줄임말. 포토 카드 케이스를 꾸미는 걸 말함.
별다꾸,"다이어리부터 폴라로이드, 신발, 스마트폰 배경화면까지 별걸 다 꾸미는 MZ세대의 특징을 나타내는 말."
닥눈삼,"‘닥치고 눈팅 삼년’의 줄임말. 주로 커뮤니티 유저들 사이에서 사용되는 용어로, 처음 커뮤니티 활동을 시작할 때 규칙이나 분위기를 충분히 파악하고 활동하라는 뜻."
떼창,"공연에서 관객들이 아티스트의 노래를 다 함께 따라 부르는 행위를 뜻함. 특히 우리나라는 떼창 문화 극도로 발전되어 있어, 외국 뮤지션들 사이에서도 유명함."
무물,"'무엇이든 물어보세요'의 줄임말. 문답을 주고 받는, MZ세대가 SNS에서 즐기는 놀이."
오늘의집,MZ세대가 푹 빠져 있는 인테리어 플랫폼. ‘오늘의집’에서 자주 보이는 스타일로 꾸민 것을 ‘오늘의집st’라고 부름.
혜자,"가성비가 좋다, 넉넉하고 인심이 후하다는 뜻. 배우 김혜자가 모델이었던 편의점 도시락이 가성비가 좋았던 것에서 유래함."
찐후기,MZ세대가 정말 믿을 만하다고 평가하는 ‘진짜 후기’를 일컫는 말.
컨셉러,"‘콘셉트(concept)’와 ‘~하는 사람(-er)’의 합성어로, 자신만의 설정을 만들어 행동하는 사람을 일컫는 말."
찐,"‘진짜’를 뜻하는 접두어. ‘찐팬’, ‘찐사랑’ 등 진심을 강조하고 싶을 때 쓰임."
민경버스,"개그우먼 ‘김민경’과 ‘유니버스’의 합성어. ‘하하버스’의 뒤를 잇는 세계관으로 ‘그냥 하면 다 잘하는데, 정작 본인은 모르는 채로 살아온 세계관’을 뜻함."
커뮤니케이션 코스트,"조직에서 구성원들끼리 소통하기 위해 투입되는 시간, 비용, 노력 등을 의미함."
먹금,‘먹이 금지’의 줄임말. 대꾸하지 않고 무시하는 것을 의미함.
코시국,코로나 시국의 줄임말.
뉴노멀(New normal),상황 변화에 따라 과거의 표준이 더 이상 통하지 않고 새로운 가치 표준이 세상 변화를 주도하는 상태.
도른자,'돌은 자'를 소리나는 대로 발음한 것. 진짜 웃기다는 뜻의 신조어.
크루얼티 프리,"‘학대(cruelty)가 없다(free)’는 의미로, 동물 실험을 하지 않거나 동물 유래 원료를 사용하지 않은 제품을 뜻함."
비건,"원래는 채식주의 중에서도 가장 엄격한 단계를 뜻하는 단어지만, 요즘은 철학적인 이유로 동물성 식품을 섭취하지 않는 사람들을 통칭해 ‘비건’이라고 부르는 경우가 많음."
답정너,‘답은 정해져 있고 너는 대답만 하면 돼’의 줄임말.
파티원,게임 용어로 함께 퀘스트를 깨러 갈 팀원이라는 의미.
리퍼브,"반품됐거나, 외관상 약간의 흠집 또는 하자가 있어 정상가로 판매하지 못하는 제품."
홈쿡,집에서 하는 요리.
밀키트(meal kit),레시피에 따라 미리 손질된 식재료가 팩에 들어있는 제품.
하울(haul),구매한 물건을 보여주면서 품평하는 유튜브 콘텐츠 포맷.
처돌이,치킨 브랜드 ‘처갓집’의 마스코트 ‘처돌이’에서 유래한 말. 특정 대상을 매우 좋아한다는 뜻.
오픈런,특정 상품을 구하기 위해 매장 오픈 시간 전에 줄을 서서 대기하는 행위. 공연계에서 쓰는 ‘오픈런’과는 다른 뜻.
밥약,밥 약속의 줄임 말.
ㄱㅇㅇ,‘귀여워’를 초성만으로 표현한 단어.
무배,무료배송의 줄임말.
브이앱,네이버가 제공하는 연예인 라이브 방송 서비스.
나심비,"‘나’, ‘마음(心)’, ‘소비’의 합성어. 내 마음에 들면 지갑을 여는 소비 심리를 뜻함."
떡밥,"이야깃거리, 특히 덕질할 거리를 뜻하는 MZ세대 용어."
맛집,"‘이 집 잘한다’는 칭찬의 표현. ‘엔딩 맛집’, ‘케미(합) 맛집’ 등 다양한 단어 뒤에 붙임."
서사,어떤 인물에게 부여된 스토리.
포토 카드,"아이돌 멤버의 사진으로 만든 카드로, 주로 앨범 당 한 장씩 들어있는 굿즈. 줄여서 ‘포카’라고 부름."
화력,단체의 행동력. 머릿수로 결정되기 때문에 ‘화력을 모으자’는 말은 참여 인원을 최대한 모으자는 것과 같은 의미.
고인 물,"특정 분야에 막대한 시간과 정성을 투자하여 경지에 이른 사람을 뜻함. ‘고수’, ‘헤비 유저’와 비슷한 의미."
𝙒𝙝𝙮𝙧𝙖𝙣𝙤,‘왜 이래’를 과장한 주접 유행어.
웃음 벨,"벨을 누르면 종소리가 나는 것처럼, 보기만 하면 웃음이 터지는 밈이나 짤을 일컫는 말."
입틀막,‘입을 틀어 막다’의 줄임말. 주로 감정이 복받쳐 오를 때 사용함.
유교걸,"‘유교’와 ‘girl’의 합성어로, 보수적인 사람을 일컫는 말."
시드 머니,"초기 자본, 종잣돈을 의미하는 말."
실친,실제 친구의 줄임말. 온라인에서 사귄 친구가 아니라는 뜻.
어그로(aggro),상대의 관심을 끌거나 도발하기 위해 자극적인 행동을 하는 것을 뜻하는 인터넷 용어.
스밍,스트리밍의 줄임말. 아이돌 팬들이 음원 사이트에서 응원하는 가수의 노래를 차트 1위로 만들어주기 위해 반복해서 듣는 것을 ‘스밍 돌린다’고 표현함.
짬바,짬에서 나오는 바이브의 줄임말. 연륜과 비슷한 의미로 사용됨.
근자감,근거 없는 자신감의 줄임말.
관종,'관심 종자'의 줄임말. 유난히 튀는 행동이나 말을 많이 하는 사람을 뜻함.
라방,라이브 방송의 줄임말.
커미션(commission),"보수를 받고 어떤 일을 처리해주는 행위. 주로 돈을 받고 원하는 콘텐츠(그림, 글)를 제작해줄 때 사용하는 말."
민초단,민트 초코를 좋아하는 이들을 부르는 말. 호불호가 갈리는 민트 초코 논쟁에서 ‘민초’ 편인 사람.
브이라이브,네이버의 실시간 방송 플랫폼. 스타와 팬과 소통하는 창구로 쓰임.
금손,손재주가 좋은 사람을 일컫는 말. 반대말은 똥손.
단호박,"단호한 사람, 단호한 상황을 일컫는 신조어."
최애,"MZ세대가 최고로 사랑하는 대상, 1순위를 부르는 말."
위버스,좋아하는 아티스트에게 글을 쓰고 사진을 남길 수 있는 소셜 네트워킹 앱.
넘사벽,넘을 수 없는 4차원의 벽의 줄임말. 대상과 거리감이 많이 느껴질 때 주로 사용함.
스낵커블(snackable),‘쉽고 빠르게 소비할 수 있는’이란 뜻.
팬싸,팬 사인회의 줄임말.
캐해석,캐릭터 해석의 줄임말. 특정 인물을 분석해 나름의 이미지를 설정하는 일을 의미함.
안읽씹,메시지를 읽지도 않고 답장도 하지 않는 경우를 일컫는 표현.
마상,‘마음에 상처가 났다’는 뜻 .
밖순이,"집순이의 반대말로, 밖에서 노는 걸 좋아하는 사람을 일컫는 말."
인스타그래머블,인스타그램(Instagram)에 올릴만 하다(able)는 의미.
쓸디계,"3D 계정의 줄임말. 2D 애니메이션 캐릭터가 아닌, 실제 인물을 덕질하는 계정을 일컫는 말."
플래그,앞날을 암시하는 복선의 의미로 사용됨. (용례: 가지 말라는 데 꼭 가네? 사망 플래그다!)
디지털 네이티브,어린 시절부터 디지털 환경에서 성장한 세대를 뜻함.
젠더 뉴트럴,남녀를 구분짓지 않는 성 중립적인 패션을 일컫는 말.
밀레니얼,"1981년~1996년에 출생한 세대를 가리키는 말. 대학내일20대연구소에선 심리적, 사회적 동질성을 고려해 1989년 이전 출생자는 전기 밀레니얼, 1989년 출생자부터는 후기 밀레니얼로 구분하고 있음."
K 패치,외국에서 온 물건이나 문화가 한국의 특성을 반영해 변형된 것을 뜻함.
이모지(Emoji),스마트폰에서 사용하는 그림 형태의 문자.
드덕,드라마 덕후의 줄임말.
예쁜 쓰레기,실용성은 없을지라도 감성을 충족시켜주는 물건들을 일컫는 말.
이때싶,'이때다 싶어'의 줄임말. 물 들어올 때 노 젓는다는 뜻.
머글,덕후가 아닌 일반인을 이르는 말. 영화 <해리 포터> 시리즈에서 마법사들이 일반인을 부르는 용어에서 비롯됨.
내돈내산,‘내 돈으로 내가 산’의 줄임말. 주로 제품 리뷰를 할 때 광고가 아니라는 것을 강조하기 위해 사용함.
아이패드 병,아이패드가 갖고 싶어 생긴 병. 아이패드를 사야만 완치가 가능하다고 알려짐. (※ 진짜로 아픈 거 아님 주의)
굿즈,"원래 연예인과 관련된 사진, 포토카드, 응원봉 등의 제품을 뜻했으나, 최근엔 ‘한정판으로 출시되는 매력적인 아이템’을 통칭하는 단어로 자리잡음."
MZ세대,1980년 초반부터 2000년대 중반 사이에 태어난 밀레니얼 세대와 Z세대를 통칭하는 말.
현활,SNS에서 현재 활동중이라는 뜻.
뽀시래기,부스러기처럼 작고 귀엽다는 뜻의 MZ세대식 표현.
인친,인스타그램 친구의 줄임말.
갑분싸,‘갑자기 분위기 싸해짐’의 줄임말.
본캐,‘본래의 캐릭터’의 줄임말.
핀스타,가짜 계정. ‘Fake Instagram’의 줄임말.
린스타,진짜 계정. ‘Real Instagram’의 줄임말.
카공족,카페에서 공부하는 사람들을 일컫는 말.
슈스,슈퍼스타의 줄임말.
라떼,"기성세대가 입 버릇처럼 말하는 “나 때는 말이야~”를 풍자하는 표현으로 “라떼는 말이야”가 탄생함. 즉, 라떼는 기성세대를 뜻함."
인스타 스토리,인스타그램에서 24시간 동안만 공개되는 게시물. 개인의 피드에도 게시되지 않는 것이 특징.
마스킹 테이프,"손으로 찢어 사용할 수 있는 종이 테이프. 다양한 디자인으로, 다이어리를 꾸미는 MZ세대에게 필수템으로 통함."
반모,반말로 말하는 것. '반말 모드'의 줄임말.
떡상,"원래는 주식이나 비트코인 등의 가격이 급등하는 것을 의미하지만, 무언가의 인기가 갑자기 높아졌다는 뜻으로도 사용됨."
엄빠,엄마 아빠를 함께 일컫는 말.
잘알,"'잘 안다', '잘 아는 사람'이라는 뜻의 신조어."
돈쭐,돈으로 혼쭐을 내주겠다는 뜻. 그만큼 많이 팔아주겠다는 긍정적인 의미로 사용됨.
공스타그램,공부와 인스타그램의 합성어. 공시생이나 수험생들이 공부 관련 콘텐츠를 올리는 인스타그램 계정을 일컫는 말.
떡메,떡메모지의 줄임말. 상단이 본드로 제본된 메모지를 뜻함.
리셀(resell),희소한 제품을 구입해 웃돈을 얹어 되파는 행위. 한정판 스니커즈부터 구하기 힘든 굿즈까지 대상은 다양함.
인스,인쇄 스티커의 줄임말. 인쇄소에 원하는 도안을 보내면 스티커를 소량으로 제작할 수 있음.
틱톡커,"틱톡(Tik Tok)에 영상을 찍어 올리는 유저를 일컫는 말. (유사어: 유튜버, 인스타그래머)"
로고 플레이,"패션 트렌드 중 하나로, 브랜드 로고를 활용해 의상이나 액세서리를 디자인하는 것을 일컫는 말."
다꾸,다이어리 꾸미기의 줄임말.
페메,페이스북 메시지의 줄임말.
DM,다이렉트 메시지(Direct Message)의 줄임말.
에타,학교 인증을 거친 재학생들만 이용할 수 있는 익명 커뮤니티 플랫폼 ‘에브리타임’의 줄임말. 과거 학교 커뮤니티와 비슷한 기능을 함.
언택트,접촉하다라는 뜻의 '콘택트(contact)'와 부정어 '언(un-)'을 합성한 말.  비대면 방식을 뜻함.
광공,~에 대해 집착이 있는 사람을 뜻하는 MZ세대의 신조어.
인플루언서블 세대,"Influenceable + 世代 = 영향력 있는 세대라는 뜻. 대학내일20대연구소가 선정한 2021년 트렌드 키워드로, 자신의 영향력을 알고 행동하는 MZ세대를 뜻함."
씽크빅,"학습지 이름 ‘씽크빅’에서 유래한 표현. 창의력이 뛰어난 대상을 칭찬할 때 쓰인다. “어릴 때 씽크빅 좀 했나 봐?”라는 문장에서 파생돼 “오, 씽크빅!”같은 감탄사로도 쓰임."
롤드컵,게임 ‘리그오브레전드(LoL) 월드 챔피언십’을 가리키는 말.  ‘리그오브레전드’로 펼치는 e스포츠 대회를 뜻함.
폰,"MZ세대가 ‘가짜’를 표현할 때 쓰는 접두어. ex) 폰여행=가짜 여행, 폰콘서트=가짜 콘서트"
입덕,入(들어갈 입) + 덕질의 합성어. ‘어떤 포인트에 반해서 덕질을 시작하게 되다’라는 뜻.
눈팅,온라인 커뮤니티 등에서 게시글을 쓰거나 댓글을 달지 않고 오직 게시물을 읽기만 하는 것을 의미함.
야민정음,야구 갤러리+훈민정음의 합성어. 디시인사이드 야구 갤러리에서 만든 드립으로 원래 글자를 모양이 비슷한 다른 글자로 대체해 표기하는 방식. (ex. 멍멍이 → 댕댕이)
내적 친밀감,실제로 알지는 못하지만 온라인 상에서 자주 소식을 접해서 내적으로 친밀감이 쌓였다는 뜻.
상플,‘상상 플레이’의 줄임말. MZ세대가 썰을 풀고 노는 문화를 칭하는 말.
인소,인터넷 소설의 줄임말.
달글,‘달리는 글’의 줄임말. 한 가지 주제가 정해지면 그 주제에 대해서만 얘기하는 글을 뜻함. 유사한 커뮤니티 문화로는 ‘불판’이 있음.
동슈501,"2000년대 중후반, 당시 최고 인기 아이돌이었던 동방신기, 슈퍼주니어, SS501을 합쳐 부르는 말."
국뽕,"부정적 어감으로 들리지만, 요즘 MZ세대가 쓰는 국뽕은 K팝과 한류의 성공으로 ‘국가에 대한 자긍심에 푹 빠짐’을 뜻하는 긍정적인 표현으로 쓰이고 있음."
코 세 글자,MZ세대가 코로나19를 일컫는 말. 트위터에서 ‘코로나’라는 단어를 사용하면 계정이 잠기는 일이 발생해 코로나를 대체하는 표현으로 사용되기 시작함.
밸붕,"밸런스 붕괴, 특정 아이템의 성능이 매우 출중하여 다른 아이템과 공정한 비교가 어려울 때 쓰는 말. 주로 게임 용어로 쓰였으나 요즘에는 다양한 분야에서 활용됨."
플리,‘플레이리스트’의 줄임말
쿠키,네이버 웹툰에서 유료 결제를 할 수 있는 화폐. ‘유료 결제 한다’라는 뜻으로 ‘쿠키 굽는다’라는 표현을 씀.
학예사,"박물관, 미술관 등에서 작품 등을 수집, 전시 기획 등을 하는 전문 직업."
온클,‘온라인 클래스’의 줄임말.
래플,당첨자에게 한정판 상품을 구매할 권리를 주는 판매 방식. 이 방식을 활용하는 브랜드로는 대표적으로 나이키가 있음.
반모방,"반말 모드 대화방의 줄임말. 말을 놓고 친해지는 채팅방으로, 주로 유튜브 댓글창에 열림."
트친소,‘트위터 친구를 소개 받습니다’의 줄임말. 트위터에서 공개적으로 친구를 모집하는 일을 뜻함.
맘찍,"마음(=하트 버튼)을 찍어둔다는 뜻. 트위터에서 남의 게시물에 공감을 표하거나, 그 게시물을 보관하고 싶을 때 사용하는 기능."
하이라이트,인스타 스토리를 프로필란에 고정할 수 있는 기능.
읽페,‘페이스북 스토리 읽으면 페메(페북 메신저) 보낸다’의 줄임말.
좋페,‘좋아요 누르면 페메(페북 메신저) 보낸다’의 줄임말.
대전,‘대신 전해드립니다’의 줄임말. 학교 등 한 집단의 소식을 제보 받아 대신 전하는 페이스북 페이지들을 뜻함.
움짤,움직이는 짤방의 준말. gif 파일로 제작된 이미지를 뜻함.
덕메,덕질 메이트의 줄임말. 덕질을 함께 하는 친구를 뜻함.
소취,소원 성취의 줄임말. ‘바라다’라는 뜻의 신조어.
디깅,"digging, 한글로 직역하면 ‘발굴’이라는 뜻. MZ세대 사이에선 흥미 있는 분야의 정보를 얻기 위해 이것저것 검색해보는 일을 의미함."
톤그로,색을 뜻하는 ‘Tone’과 분쟁를 뜻하는 ‘aggro’의 합성어. 본인의 피부 톤에 맞지 않는 색상으로 메이크업해서 어색하다는 뜻으로 쓰임.
가심비,가격 대비 심리적 만족을 추구하는 소비 트렌드↔가성비
인스타 돋보기,인스타그램 검색 탭을 일컫는 말. 인스타그램 알고리즘을 이용해 검색바 하단에 추천 콘텐츠를 보여줌. MZ세대가 시간 때울 때 주로 이용하는 기능.
망붕,‘망상 분자’를 ‘망상 붕자’로 발음을 뭉갠 것의 줄임말. 사실이 아니지만 믿고 싶어 하는 것을 의미함.
OTT,"‘Over The Top’의 줄임말로 넷플릭스, 티빙, 웨이브 등의 온라인 동영상 서비스를 일컬음."
짠메랑,‘부메랑(gif 형식으로 사진을 찍어주는 필터)’기능을 활용해 술자리에서 건배하는 모습을 촬영하는 것.
필환경,필(必)과 환경의 합성어로 환경을 필수로 생각해야 한다는 뜻.
공병템,공병이 될 때까지 싹싹 긁어 쓸 정도로 잘 맞는 아이템이라는 뜻. 뷰티 카테고리에서 주로 쓰이는 표현.
빛삭,‘빛의 속도로 삭제한다’의 줄임말로 인터넷상에 올린 게시물을 매우 빠르게 지운다는 의미.
그라폴리오,"네이버의 웹서비스 중 하나로 전 세계 크리에이터들의 작품을 발견, 공유하고 사고팔 수 있는 창작 콘텐츠 커뮤니티."
빌드업,‘쌓아 올린다’는 뜻의 건축 용어 ‘빌드업(Build-up)’에서 유래한 표현. SNS에서는 ‘말하고자 하는 내용=결론을 강조하기 위해 앞단에 설명을 쌓는 것’이라는 뜻으로 쓰인다.
마음함,"트위터에서 하트 버튼을 누르면 ‘마음에 들어요’ 카테고리에 보관되는데, 이를 뜻하는 트위터 용어."
알못,어떤 분야에 대해 잘 알지 못하는 사람을 부르는 말↔잘알
구독계,아무 말도 걸지 않고 그냥 상대방을 팔로해서 상대방이 쓰는 글을 보거나 리트윗만 하기 위해 이용하는 계정.
알계,"트위터 계정 최초 생성 시 기본 프로필 사진인 알 그림을 프로필 사진으로 하고 있는 계정. 주로 본계를 숨기고 새로 계정을 만들어, 익명 뒤에 숨고 싶은 사람들이 이용함."
초멘,안면이 없다는 뜻의 ‘초면’과 ‘멘션을 합친 트위터 용어.
긱잡,"Gig Job. 필요할 때마다 계약직, 임시직을 섭외해 일을 맡기는 고용 형태. 긱 이코노미(임시직 경제)가 만들어낸 일자리를 의미함."
차도남,차가운 도시 남자의 줄임말.
대란,큰 난리가 일어났다는 뜻. 어떤 물건이 너무 인기가 많아서 구하지 못해 난리인 현상에 주로 쓰임.
플로깅,줍다라는 뜻의 스웨덴어 ‘plocka upp’과  영단어 ‘jogging(조깅)’의 합성어. 조깅을 하면서 쓰레기를 줍는 운동을 뜻함. 최근 MZ세대 사이의 새로운 취미로 떠올랐음.
안 고독한 채팅방,"대화가 없는 고독한 채팅방과 달리, 대화도 하며 특정 연예인의 짤(이미지)도 공유하는 카카오톡 오픈 채팅방."
옾챗,오픈채팅방의 Z세대식 줄임말. Z세대는 오픈채팅방을 커뮤니티처럼 이용함.
팔이피플,"팔이+people의 합성어로, SNS나 쇼핑몰에서 물건을 판매하는 사람들을 지칭하는 말."
플미,‘프리미엄’의 줄임말. 주로 희소성있는 제품이 판매가보다 비싸게 거래될 때 ‘플미붙었다’고 표현함.
빠던,"배트 플립(bat flip)의 한국식 표기. 일명 ‘빠따 던지기’의 줄임말. 타자가 홈런이 짐작되는 타격을 한 뒤, 야구 방망이를 던지는 행위를 말함."
혼코노,‘혼자서 코인 노래방 가는 사람(or 행위)’의 줄임말.
메타버스,"가상 세계와 현실 세계의 경계가 허물어진 3차원 가상 세계를 뜻함. 이용자는 아바타를 이용하여 메타버스 세계관 아래서 사회, 경제, 문화 활동을 함.  이를 활용한 대표적인 콘텐츠로는 게임 ‘로블록스’, ‘마인크래프트’, 증강현실 아바타 서비스 ‘제페토’등이 있다."
공답,공개 답변의 줄임말. 제품의 정보를 묻고 답할 때 사용함.
온콘,온라인 콘서트의 줄임말.
불판,하나의 게시물 안에서 주제를 정해놓고 댓글로 의견을 주고받는 커뮤니티 문화.
퍼블리시티권,유명인이 자신의 성명이나 초상을 상품 등의 선전에 이용하는 것을 허락하는 권리.
키자니아,어린이들이 직업을 체험할 수 있는 테마파크. 특정 직업을 생생하게 표현하거나 보여주는 콘텐츠를 볼 때 ‘어른들의 키자니아’라는 댓글이 많이 달림.
팡인,‘광인’을 야민정음 방식으로 표기한 것. 특정 일에 미친듯이 몰두하는 사람을 지칭함.
리젠,"‘regeneration(부활)’의 줄임말로, 게임에서 몬스터가 죽고난 뒤 다시 나타나는 것을 뜻한다. 통상적으로는 ‘새로운 게시물이 업로드 되었다’라는 의미로 쓰임."
장비병,무언가를 시작할 때 필요한 장비부터 구입하는 장비 덕후를 뜻하는 말.
언팔,‘언팔로우(Unfollow)’의 줄임말. 팔로우를 취소하여 더이상 게시물을 받아보지 않는다는 뜻.
P2P,금융기관을 거치지 않고 개인과 개인이 온라인 플랫폼을 통해 자금을 빌려주고 이에 대한 이자를 받는 방식.
스꾸,스티커 꾸미기의 줄임말. 스티커로 무언가를 꾸미는 행위를 뜻함.
팔로인,"follow(따르다) + 人(사람)의 합성어로, 신뢰하는 사람을 통해 정보를 얻는 MZ세대를 가리키는 말."
생정,생활 정보의 줄임말.
가상 데스크톱 서비스,PC 환경을 온라인에 구축해 어디서든 접속할 수 있게 하는 서비스.
TMI,"너무 많은 정보, 굳이 알려주지 않아도 될 정보를 일컫는 말(Too Much Information)."
트시피,트위터+레시피를 합친 말. 트위터에서 유행하는 레시피를 뜻함.
유튜브 프리미엄,"유튜브 유료 요금제. 광고 제거, 동영상 다운로드 등의 서비스를 제공함."
어사,어색한 사이의 줄임말↔찐친
VSCO,사진 보정 앱. 포토샵처럼 세세한 조절도 가능하다. 이런 감성을 묶어 부르는 VSCO girl이란 말도 있음.
재질,"느낌, 톤, 성향을 이르는 MZ세대 유행어."
와드,관심 있는 정보의 업데이트 내용을 실시간으로 확인하기 위해서 댓글을 남겨두는 행위.
트수,"스트리밍 플랫폼 ‘트위치’와 ‘백수’가 결합된 단어. 트위치를 시청하는 데 많은 시간을 보낸다는 뜻으로, 트위치 애청자를 상징하는 말로 쓰임."
프롬,미국 고등학교에서 학년의 마지막에 열리는 공식적인 댄스 파티. 서양 하이틴이 유행하면서 <클루리스> 등 하이틴 영화에 나오는 ‘프롬파티’ 소재가 Z세대의 뜨거운 관심을 받았음.
갓성비,"대단한 존재를 ‘갓(god)+OO’이라고 부르는 MZ세대의 언어 습관에서 유래된 말로, 가성비를 뛰어넘는 혜택을 느낄 때 쓰는 말."
프사,‘프로필 사진’의 줄임말.
일코,‘일반인 코스프레’의 줄임말. 덕후라는 것을 타인에게 들키지 않도록 행동하는 것을 의미함.
언박싱,구매한 물건의 상자를 개봉하는 과정을 담은 유튜브 영상 포맷.
판 플레이,대학내일20대연구소가 정의한 2020 MZ세대 특징 중 하나. MZ세대가 스스로 참여할 수 있는 놀이 ‘판’을 만들어 즐기는 것을 의미함.
실감세대,"실감나는 경험을 선호하고 소비함으로써, 내가 지금 이곳에 존재하고 있음을 실감하는 세대."
게이미피케이션(Gamification),게임적 사고와 게임 기법을 활용해 사용자를 몰입시키는 기법.
존버,엄청나게 버티다라는 뜻.
인장,트위터에서 ‘프로필 사진’을 일컫는 말. 프로필 사진이 올라가는 템플릿이 도장처럼 동그란 데서 유래한 별칭.
드래곤볼,MZ세대는 무언가를 모을 때 ‘드래곤볼’이라고 표현함. 만화 <드래곤볼>의 내용이 구슬 일곱개를 모아야 한다는 점에서 유래됨.
끌올,이전에 있었던 일을 다시 끌어 올려 화제로 삼는 일을 부르는 말.
도믿맨,‘도를 아십니까’라는 말과 함께 전도하려는 사람들을 뜻하는 말.
신박한,‘새롭고 놀랍다’란 뜻으로 신기하면서도 참신한 경우에 사용되는 신조어.
직관,직접 현장에 찾아가 운동 경기 등을 관람하는 일 ↔집관(집에서 관람)
팅글,'기분 좋은 소름'을 뜻하는 ASMR 용어.
취뽀,‘취업 뽀개기’의 줄임말. 취업에 성공했을 때 ‘취뽀했다’라고 함.
캐릿 1020 해외 특파원,1020으로 구성된 캐릿의 해외 트렌드 자문 그룹. 해외 각국의 Z세대 트렌드를 발 빠르게 전하는 역할을 맡고 있음.
헤르미온느,<해리 포터> 시리즈에 나오는 해리의 친구이자 모범생 캐릭터. 시간을 돌릴 수 있는 시계를 이용해 많은 수업을 듣는다. 시간 관리를 잘 하거나 열심히 사는 사람을 일컬어 헤르미온느라고 부름.
순삭,"‘순식간에 삭제되다’의 줄임말. ‘너무 재밌어서 시간 가는 줄 몰랐다’, ‘너무 맛있어서 순식간에 다 먹어 버렸다.’ 등의 맥락에서 사용됨."
TMT,"Too Much Talker의 줄임말로, 말이 많은 사람이라는 뜻."
현질,유료 게임 아이템을 사는 행위를 뜻함.
레딧,미국에서 만들어진 커뮤니티 사이트로 해외 MZ세대가 즐겨찾음. 주제별 게시판인 ‘서브레딧’이 따로 있는 것이 특징.
덕력,"덕후+力(힘)의 합성어로, 팬심이 깊은 사람에게 덕력이 높다는 표현을 씀."
즈즈즈,"아이돌 그룹 ‘더보이즈’, ‘스트레이키즈’, ‘에이티즈’를 합쳐 부르는 말."
세포마켓,1인 미디어 시대에서 SNS를 통해 이뤄지는 1인 마켓. 기업 단위가 아닌 1인 사업자가 주를 이뤄 세포가 분열하는 것처럼 개인 단위로 발전하는 현상을 뜻함.
마크정식,"아이돌 그룹 갓세븐의 팬이 멤버인 ‘마크’를 대중들에게 알리기 위해 직접 편의점 레시피를 개발하고, 해당 레시피에 ‘마크’라는 이름을 붙여 유행시킨 것."
교복템,마치 교복처럼 자주 입는(쓰는) 물건이라는 뜻.
갓생,"god(신)과 인생이 합쳐진 단어로, 부지런하고 알찬 삶을 사는 것을 일컫는 말."
펀슈머,"‘Fun(재미)’과 ‘Consumer(소비자)’의 합성어로, 소비 과정에서 재미를 추구하는 소비자를 일컫는 말."
스킨스병,영국 드라마 <스킨스>의 퇴폐적인 주인공을 따라하는 사람들을 일컫는 말. 2010년대에 창궐하다 사라졌음.
앱테크,앱+재테크의 합성어. 앱 안에서 특정 활동을 해 포인트를 쌓는 것
고독한 채팅방,대화 없이 특정 연예인의 짤(이미지)만 공유하는 카카오톡 오픈 채팅방
트롤,온라인에서 사람들의 관심을 끌기 위해 일부러 진행에 방해되는 행동을 하는 것. 또는 그런 사람을 뜻함.
홈마,"홈페이지 마스터의 줄임말. 아이돌 팬 페이지를 운영하며, 고화질 카메라로 아이돌 스케줄 사진과 동영상을 찍는 팬을 의미함."
